subid,slidenumber,condition,rawDT,age_months,milliDT,logDT,logDT_win,slide_num_adj,run,slide_type,pix_change,pix_adj
CI97,14,nothing,1.02,38,1020,3.008600172,3.008600172,13,first,within,3920132.597,6.817147671
CI97,15,nothing,1.489,38,1489,3.172894698,3.172894698,14,first,within,3760258.053,6.539124327
CI97,16,nothing,1.756,38,1756,3.244524512,3.244524512,15,first,within,3688629.216,6.414561102
CI97,17,nothing,1.059,38,1059,3.02489596,3.02489596,16,first,within,3413116.095,5.935441178
CI97,18,nothing,1.367,38,1367,3.135768515,3.135768515,17,first,boundary,3009250.871,5.233115733
CI97,19,nothing,1.167,38,1167,3.067070856,3.067070856,18,first,within,3632366.182,6.316719153
CI97,20,nothing,1.27,38,1270,3.103803721,3.103803721,19,first,within,3885994.192,6.757780662
CI97,24,nothing,2.842,38,2842,3.453624074,3.453624074,2,second,boundary,3381826.49,5.881028259
CI97,25,nothing,3.798,38,3798,3.57955496,3.57955496,3,second,within,3882150.485,6.751096419
CI97,26,nothing,2.333,38,2333,3.367914739,3.367914739,4,second,within,4296483.591,7.47162561
CI97,27,nothing,1.353,38,1353,3.131297797,3.131297797,5,second,within,4031697.099,7.011159396
CI97,28,nothing,0.521,38,521,2.716837723,2.716837723,6,second,within,4639716.692,8.06851122
CI97,29,nothing,1.068,38,1068,3.028571253,3.028571253,7,second,within,5105712.6,8.878882513
CI97,30,nothing,1.623,38,1623,3.21031852,3.21031852,8,second,within,6466129.029,11.24465955
CI97,31,nothing,1.827,38,1827,3.261738547,3.261738547,9,second,boundary,5526230.268,9.610166715
CI97,32,nothing,0.182,38,182,2.260071388,2.260071388,10,second,within,5664133.439,9.849981634
CI97,33,nothing,0.52,38,520,2.716003344,2.716003344,11,second,within,5079969.27,8.834114618
CI97,34,nothing,5.01,38,5010,3.699837726,3.699837726,12,second,within,4574287.827,7.954729805
CI97,35,nothing,6.757,38,6757,3.829753919,3.770359271,13,second,within,3920132.597,6.817147671
